n;subno;id;status;area
1;1;0a96c8d6dc0ed2d3d4032f3df7e72eef;partial;2.4140040606848194000000000000000000000000000000000000000000000000
2;1;bc96c4dc5c584f94a9ae700d156ebc52;partial;0.1896448775086167000000000000000000000000000000000000000000000000
2;2;e59354802ad04188a3023184838c346b;partial;0.2243591831762028000000000000000000000000000000000000000000000000
2;3;ef63a778752b4611b5e1d9ba2becc82f;inside;1.0000000000000000000000000000000000000000000000000000000000000000
2;4;51ed2897fb80406b9c503d42657c7846;inside;1.0000000000000000000000000000000000000000000000000000000000000000
4;5;4f2941b903f64ce9a2f6b635c8caaa4e;partial;0.0905381249356693000000000000000000000000000000000000000000000000
4;6;ac284633ea344f148d154838203908b5;partial;0.0991067525729474875000000000000000000000000000000000000000000000
4;7;f18f569d14a543669dfbd85706303639;partial;0.1077848016288120375000000000000000000000000000000000000000000000
4;8;d035db0262db45e196f1931470604967;partial;0.1165743815473909375000000000000000000000000000000000000000000000
4;9;30b2924fe48a4ba1b1bfe22d010d6c0d;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;10;86ee4e7a7c864d16827539fc86568d1d;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;11;dd4479f85afe403da321be484cd7212d;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;12;16acfd5cc8f1469cb753b8e572d4fcd6;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;13;7934a639b7bf4e41babf81229e8923fd;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;14;0c7273a6187d42ba8cd0362f75388276;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;15;2144f47d408647b29c47738d39fa78a2;inside;0.2500000000000000000000000000000000000000000000000000000000000000
4;16;2dee726b39174d34b561ce0278b69034;inside;0.2500000000000000000000000000000000000000000000000000000000000000
8;25;fcad60de95be40638c15e6ed982f8e74;partial;0.0442047419085491968750000000000000000000000000000000000000000000
8;26;b84810293df541fea4d2544c36b8f14b;partial;0.0463333830271200968750000000000000000000000000000000000000000000
8;27;40624043cdd342eba00dabce0d9569b9;partial;0.0484755078055726625000000000000000000000000000000000000000000000
8;28;283e5f2f28fb4ff3b6a0646d3b185998;partial;0.0506312447673748000000000000000000000000000000000000000000000000
8;29;c3265acb875f4ef59bb016c2efa619b6;partial;0.0528007240746144312500000000000000000000000000000000000000000000
8;30;3b3f71293a5d4c139d1e57e5703023bf;partial;0.0549840775541976187500000000000000000000000000000000000000000000
