n;subno;id;status
2;1;f9d8817cd5c4482abf01d2a013c4fd37;partial
2;2;6cb10a4ca15b4b04b89393d35a98a662;partial
2;3;1fcb1dab05f14149a18034bbcf062ac9;inside
2;4;c3af0554ac764a018bdfb3279141e5c2;inside
2;counts;inside=2;outside=0;partial=2
4;1;55375f5ffb23484ca5a3a68db24fcb4f;outside
4;2;4ed035f09ae2436cb99a8ec084c69e35;outside
4;3;aa66403f3d6b4dea949652305a294aa6;outside
4;4;faa6eecff6da4ec0ad1bf1eacda7c2f1;outside
4;5;d795aa735b1e4fe7a9ebc0be693cfdac;partial
4;6;92088ed9e9aa4a75921643a7c0176d71;partial
4;7;b4fd790e028446e885ab0c04cdf6d8ab;partial
4;8;b19c93b31f604747b0b26c36c430c45d;partial
4;9;796790ec6abd44b3984db183c2a35e7f;inside
4;10;c942e96a4f9c4fbea32396f9d88471ea;inside
4;11;e5a27e9726a64d3cbaef620408861cc8;inside
4;12;9784a861442c406682ae8a60e065b16c;inside
4;13;db87e7a6b7cd4253bf07f6d36df1e2f8;inside
4;14;31d9682e3ec64ac9b785e9bfd67d8e1b;inside
4;15;1344117919a14f8985e636bf593277ab;inside
4;16;2c3805d868d94471b46deb40836a1007;inside
4;counts;inside=8;outside=4;partial=4
8;1;9d149222a24d414197ff9fc6335524bf;outside
8;2;166f28d6a4bc4959aac9116dec602640;outside
8;3;c7cd220ed0e248bfb02d8e8625daf001;outside
8;4;597af8435c6f44dfb286fc55aa11b30a;outside
8;5;9a297456ce6c4db8b3115b195b484503;outside
8;6;e885afd7fb36493db59637a3f86b7768;outside
8;7;79329b1ad0ae459a8a46dda778463aa9;outside
8;8;8bb4c6c870f14251b9c879db8783fb00;outside
8;9;235ea63a912a4ed997535b5aabb64b85;outside
8;10;b8f10b61890648c5b8b1c47b831183db;outside
8;11;68e876c2d99740f1bfc77925a49353b1;outside
8;12;ed3334fa2c304d61814076f5055eea6a;outside
8;13;3476ca51886548dd95155335db2c791f;outside
8;14;dd65cb74f3a847948259d5a9bfdf7917;outside
8;15;359e55af78a749f68b0bc69d3bb5ac4d;outside
8;16;105b44924ac74b2aac14e99a69c11aef;outside
8;17;7f8a87ff2e314c38b83117a495f649df;outside
8;18;bdaff5152b934fdc89d4197b17db9973;outside
8;19;793e2d2274414bb6b7f5a0feb2f57962;outside
8;20;2f0c97d307f74acfa1c832095ee60f96;outside
8;21;e42f2faeabc245fba571a9c577c33bb5;outside
8;22;a140a32bc5c44e31a5fd683769650389;outside
8;23;7eb03ed77129480c87e17f0a4be20957;outside
8;24;a5f026a7cf154918b68d8f45308e7488;outside
8;25;85acee110d9149a8ba93c1825dff6305;partial
8;26;a6ffed3b55a04dc7aa39e45347824a5d;partial
8;27;a2f6135ef57b4e0792904d0b80644e6c;partial
8;28;78001c5784924806a5b369e63f3db19b;partial
8;29;934d531afbd1465b8bcb21dab75073f6;partial
8;30;bd4fe8f95163496ab4b90501b9f27059;partial
8;31;09c61699207e4fff8f3ccdeaed00232f;partial
8;32;b2641e5d45504cae82b9fc3488c9f3b7;partial
8;33;894d3b21a305462982046a54e4ef2d59;inside
8;34;3a70b6aba052456499e390f2f4a0044f;inside
8;35;120aea32f9e04bbe9a645e6937d60a9d;inside
8;36;0c822181d7bf411aad08ff13cd38ad94;inside
8;37;a11d6592641848388a4e50e836eb89cb;inside
8;38;5526b04c52374517973e11f13bf4140b;inside
8;39;24439805c4994fe68d8d1acb54752ea3;inside
8;40;13d5df2bd05b4550a29a9f8609d7480c;inside
8;41;b9f70a789afc44b9b9cdeafa306b5984;inside
8;42;4f2ea56f87064a91a7b36acc37d61d70;inside
8;43;c9be1d30023944089d38e69edec36e2b;inside
8;44;075106125b6c452a8caa12645f63a9fc;inside
8;45;d6e1a7c4891047b6aae87b4b1643ac1d;inside
8;46;3a0f90354e2e4557879d1281254c75ff;inside
8;47;4564dab29eef4bf3a6bf8f935544d7b1;inside
8;48;5158f3e16aa840ad99967b9b6f9016d3;inside
8;49;1caa62f04d614eb18c1a3fa8c6fc8f47;inside
8;50;56eb61a0554e439b8ef19b6af7cb29da;inside
8;51;88e96e7abd0641e49e48a4f79ed2b241;inside
8;52;5e5640100a084fabbc7ad0c2480f9cd1;inside
8;53;652174af53394ef28b31979b45bef39e;inside
8;54;0190566b174c4afa83d37324f267d603;inside
8;55;b4550b329f814d548afd0edd41f719ce;inside
8;56;59e34fdd9f0f47878d32e80c67668557;inside
8;57;53be1f7c954e45529a3fc361635b1732;inside
8;58;09143f16a9ee4bca9a5e1b78df09eacb;inside
8;59;74310b29d4504abfab20f28c00576e1c;inside
8;60;83c5ec3a036346de9eeb17fb48006cc5;inside
8;61;9281fc2fb998492f82fa1d77fb7bdd81;inside
8;62;12b4c6293e4f45c59afffa9944bc18e0;inside
8;63;d35b641342664e2eb7a5880a157a19c0;inside
8;64;d89d72e5bb6f41118ff551b63f373c9c;inside
8;counts;inside=32;outside=24;partial=8
