number;id;weights_scaled
1;a6a068a075e6d37a96b3922d38cc56b0;8.7720162788985125e-03 1.9270554784547905e-02 2.7184427487381275e-02 3.1428569141426499e-02 3.1428569141426499e-02 2.7184427487381275e-02 1.9270554784547905e-02 8.7720162788985125e-03 1.7864931848783173e-02 3.9246068061038739e-02 5.5363320013267985e-02 6.4006863184578711e-02 6.4006863184578711e-02 5.5363320013267985e-02 3.9246068061038739e-02 1.7864931848783173e-02 2.2420386358298544e-02 4.9253588898101636e-02 6.9480647073396809e-02 8.0328243865019577e-02 8.0328243865019577e-02 6.9480647073396809e-02 4.9253588898101636e-02 2.2420386358298544e-02 2.2635139124051677e-02 4.9725362411282864e-02 7.0146164646862116e-02 8.1097664706499401e-02 8.1097664706499401e-02 7.0146164646862116e-02 4.9725362411282864e-02 2.2635139124051677e-02 1.9757710333309472e-02 4.3404164708535808e-02 6.1229029540740679e-02 7.0788350767249833e-02 7.0788350767249833e-02 6.1229029540740679e-02 4.3404164708535808e-02 1.9757710333309472e-02 1.5200648969137363e-02 3.3393113898464548e-02 4.7106722847365605e-02 5.4461213013284035e-02 5.4461213013284035e-02 4.7106722847365605e-02 3.3393113898464548e-02 1.5200648969137363e-02 9.8532647293785806e-03 2.1645864729059324e-02 3.0535210153918878e-02 3.5302489412951596e-02 3.5302489412951596e-02 3.0535210153918878e-02 2.1645864729059324e-02 9.8532647293785806e-03 4.2631698610848907e-03 9.3654236097913141e-03 1.3211538632667000e-02 1.5274176937297752e-02 1.5274176937297752e-02 1.3211538632667000e-02 9.3654236097913141e-03 4.2631698610848907e-03
2;d04baa82e0f807196c45450786d616ab;1.4189219383097674e-03 3.1171186897471551e-03 4.3972313168139255e-03 5.0837446746113272e-03 5.0837446746113272e-03 4.3972313168139255e-03 3.1171183543025464e-03 1.4189217856143417e-03 4.5716044998647051e-03 1.0043000958429386e-02 1.4167377865480033e-02 1.6379245617905314e-02 1.6379245617905314e-02 1.4167377865480033e-02 1.0042999484605467e-02 4.5716041644200964e-03 9.2701113264845141e-03 2.0364784899121049e-02 2.8728027011976923e-02 3.3213161603708317e-02 3.3213161603708317e-02 2.8728027011976923e-02 2.0364780740957475e-02 9.2701103800800402e-03 1.4041913202870356e-02 3.0847582952722729e-02 4.3515814220962665e-02 5.0309677355678706e-02 5.0309677355678706e-02 4.3515814220962665e-02 3.0847578145370012e-02 1.4041912108709425e-02 1.6946964086294099e-02 3.7229461465144519e-02 5.2518550031833977e-02 6.0717956324411973e-02 6.0717956324411973e-02 5.2518550031833977e-02 3.7229456657791801e-02 1.6946962992133170e-02 1.6580854969921285e-02 3.6425184403341297e-02 5.1383979091308415e-02 5.9406251626319198e-02 5.9406251626319198e-02 5.1383979091308415e-02 3.6425180245177727e-02 1.6580853077112333e-02 1.2693183735159893e-02 2.7884663073865220e-02 3.9336106812522739e-02 4.5477417292888567e-02 4.5477417292888567e-02 3.9336106812522739e-02 2.7884660126217382e-02 1.2693181051603025e-02 6.0048086954451784e-03 1.3191496093648468e-02 1.8608871047937143e-02 2.1514162497829451e-02 2.1514162497829451e-02 1.8608871047937143e-02 1.3191493410091598e-02 6.0048080846634754e-03
3;9c469d7854cdb09290680f17cdd18fee;3.0261420732174732e-03 6.2825635424734088e-03 7.8918364640309727e-03 7.5681240523022258e-03 5.6072979442839590e-03 3.0379751620804207e-03 9.7050699975342587e-04 9.1307579577886076e-05 6.6655165000727226e-03 1.3838255987038004e-02 1.7382912784436773e-02 1.6669888548490774e-02 1.2350885949581350e-02 6.6915798252941243e-03 2.1376821120214860e-03 2.0111816318395460e-04 9.4086545311137682e-03 1.9533274850374219e-02 2.4536706262164990e-02 2.3530243508410081e-02 1.7433791494229568e-02 9.4454445182392804e-03 3.0174275318549174e-03 2.8388668031004345e-04 1.0870812712637842e-02 2.2568855260234926e-02 2.8349849708289871e-02 2.7186975499138701e-02 2.0143099833779522e-02 1.0913319296680159e-02 3.4863528834492320e-03 3.2800424696390897e-04 1.0872610419046072e-02 2.2572588169619948e-02 2.8354537487030877e-02 2.7191471949478088e-02 2.0146431989654396e-02 1.0915124049110466e-02 3.4869291648562239e-03 3.2805851050753842e-04 9.4091286797555341e-03 1.9534260335140989e-02 2.4537942480344754e-02 2.3531428592439001e-02 1.7434669711006365e-02 9.4459203815836848e-03 3.0175795647105499e-03 2.8390096510258163e-04 6.6678894352337889e-03 1.3843182980400664e-02 1.7389102210914976e-02 1.6675824427258519e-02 1.2355283475479545e-02 6.6939624530213734e-03 2.1384433420758727e-03 2.0118975964259752e-04 3.0342114156861957e-03 6.2993163171149074e-03 7.9128802407254922e-03 7.5883047564978424e-03 5.6222502004748725e-03 3.0460759111805859e-03 9.7309487104743696e-04 9.1551052434230506e-05
4;c462ab1cc4dd0821f5a42dd03d2c9dc0;1.3040516699122174e-04 9.7410816534879271e-04 2.7584652475636305e-03 5.5966397226634053e-03 8.7414168892384608e-03 1.0884014876985362e-02 1.0138410089787761e-02 5.4702281177420719e-03 2.8634994199857656e-04 2.1389936310817906e-03 6.0571708880644871e-03 1.2289371064210158e-02 1.9194823168431095e-02 2.3899641831492086e-02 2.2262408015451374e-02 1.2011789734645884e-02 4.0398505323253572e-04 3.0177110666335417e-03 8.5455099452930068e-03 1.7337952273813535e-02 2.7080226294508746e-02 3.3717828856288400e-02 3.1408002450617069e-02 1.6946339342723441e-02 4.6699472349221252e-04 3.4883842904318563e-03 9.8783560838186200e-03 2.0042159031871194e-02 3.1303938366485894e-02 3.8976806758265141e-02 3.6306718955165761e-02 1.9589463395402750e-02 4.6688065721524477e-04 3.4875324876222514e-03 9.8759435307812053e-03 2.0037264682918512e-02 3.1296292048798906e-02 3.8967288787251760e-02 3.6297851793078616e-02 1.9584679723816154e-02 4.0362846577159800e-04 3.0150475029799007e-03 8.5379672546552678e-03 1.7322649600787741e-02 2.7056324556826754e-02 3.3688065767111079e-02 3.1380279974076802e-02 1.6931380473598233e-02 2.8602447686710576e-04 2.1365623742986973e-03 6.0502860087287219e-03 1.2275402099051723e-02 1.9173006199961588e-02 2.3872478627952370e-02 2.2237103932578644e-02 1.1998137139076845e-02 1.3030976098052577e-04 9.7339551327787306e-04 2.7564470400215893e-03 5.5925453724627976e-03 8.7350215186017561e-03 1.0876051829736248e-02 1.0130992738602931e-02 5.4662256652425424e-03
5;86791adeb24851ae9bd3f4419416f295;9.6908445121905388e-03 2.0938299504567597e-02 2.8771106766766360e-02 3.2361765868817033e-02 3.1353575351274275e-02 2.6413255479696814e-02 1.8346557850662748e-02 8.2511404210465333e-03 2.1289056488635792e-02 4.5997708493617617e-02 6.3204988628984576e-02 7.1093026081121127e-02 6.8878211381300611e-02 5.8025210006070770e-02 4.0304114462207587e-02 1.8126283452216847e-02 3.0031870844431471e-02 6.4887668523850722e-02 8.9161492724803199e-02 1.0028892442216648e-01 9.7164547865372417e-02 8.1854525284083934e-02 5.6855876195092192e-02 2.5570236229920155e-02 3.4720566755313653e-02 7.5018191116014488e-02 1.0308174193313555e-01 1.1594643281652525e-01 1.1233426608302920e-01 9.4633981481627147e-02 6.5732443213060099e-02 2.9562363882325415e-02 3.4720566755313653e-02 7.5018191116014488e-02 1.0308174193313555e-01 1.1594643281652525e-01 1.1233426608302920e-01 9.4633981481627147e-02 6.5732443213060099e-02 2.9562363882325415e-02 3.0031870844431471e-02 6.4887668523850722e-02 8.9161492724803199e-02 1.0028892442216648e-01 9.7164547865372417e-02 8.1854525284083934e-02 5.6855876195092192e-02 2.5570236229920155e-02 2.1289056488635792e-02 4.5997708493617617e-02 6.3204988628984576e-02 7.1093026081121127e-02 6.8878211381300611e-02 5.8025210006070770e-02 4.0304114462207587e-02 1.8126283452216847e-02 9.6908445121905388e-03 2.0938299504567597e-02 2.8771106766766360e-02 3.2361765868817033e-02 3.1353575351274275e-02 2.6413255479696814e-02 1.8346557850662748e-02 8.2511404210465333e-03
6;7ab7046e3fa23fd4161c3d644e6640d6;4.5862143651713389e-04 1.5413458370621997e-03 2.8630429420046931e-03 4.3311862576614199e-03 5.2873565350217682e-03 5.3159184435466579e-03 4.1641439591628346e-03 2.0220513100137672e-03 1.0075092236362187e-03 3.3860607133376309e-03 6.2895930002808999e-03 9.5148416957805473e-03 1.1615376607723351e-02 1.1678121310190831e-02 9.1478791593461069e-03 4.4420846402690216e-03 1.4212651674107664e-03 4.7766217946252779e-03 8.8725534444583053e-03 1.3422321050517209e-02 1.6385487185196973e-02 1.6474000373785529e-02 1.2904657937900360e-02 6.2663252626494054e-03 1.6431574077781055e-03 5.5223623053816040e-03 1.0257763533085950e-02 1.5517854809508572e-02 1.8943639364235345e-02 1.9045972008335840e-02 1.4919372781464491e-02 7.2446430324310121e-03 1.6431565871574080e-03 5.5223599017052453e-03 1.0257758446888400e-02 1.5517847949187653e-02 1.8943631523868579e-02 1.9045961835940744e-02 1.4919365570435415e-02 7.2446392028677562e-03 1.4212610268911901e-03 4.7766077608232200e-03 8.8725285147915733e-03 1.3422282904035592e-02 1.6385441409419031e-02 1.6473953447354032e-02 1.2904621553969096e-02 6.2663072809643885e-03 1.0075048628563072e-03 3.3860463435544164e-03 6.2895659722176766e-03 9.5148008332824503e-03 1.1615327332357999e-02 1.1678071412227957e-02 9.1478401030122419e-03 4.4420658553709410e-03 4.5861750460992104e-04 1.5413325870001610e-03 2.8630183354883538e-03 4.3311490561897944e-03 5.2873116744236327e-03 5.3158730161318784e-03 4.1641084020343257e-03 2.0220339027352328e-03
7;5e9ca2a2b1419a14102e743419fc21cc;8.9580060260500936e-03 1.9679143760913023e-02 2.7760816204534581e-02 3.2094948161035301e-02 3.2094945972713437e-02 2.7760816204534581e-02 1.9679143760913023e-02 8.9580017505781727e-03 1.8140877976246767e-02 3.9852278367931655e-02 5.6218487933662603e-02 6.4995552959134048e-02 6.4995543344428613e-02 5.6218487933662603e-02 3.9852278367931655e-02 1.8140869925576161e-02 2.2208314150825765e-02 4.8787708251398276e-02 6.8823454131881470e-02 7.9568454111954692e-02 7.9568447330357964e-02 6.8823454131881470e-02 4.8787708251398276e-02 2.2208302793972068e-02 2.0767502702453960e-02 4.5622503197898151e-02 6.4358383789536039e-02 7.4406280170317723e-02 7.4406272329950965e-02 6.4358383789536039e-02 4.5622503197898151e-02 2.0767491760844661e-02 1.5742554406665436e-02 3.4583588272893859e-02 4.8786098213265322e-02 5.6402783104985553e-02 5.6402779184802174e-02 4.8786098213265322e-02 3.4583588272893859e-02 1.5742546747538926e-02 9.7145769383082496e-03 2.1341194473891368e-02 3.0105426293802910e-02 3.4805609366723611e-02 3.4805605975925240e-02 3.0105426293802910e-02 2.1341194473891368e-02 9.7145722062858767e-03 4.7479021101263013e-03 1.0430294618713594e-02 1.4713724175022723e-02 1.7010892104304995e-02 1.7010889700628636e-02 1.4713724175022723e-02 1.0430294618713594e-02 4.7478997620140411e-03 1.5839438549894119e-03 3.4796423997949777e-03 4.9086342243157373e-03 5.6749903985493146e-03 5.6749898514688495e-03 4.9086342243157373e-03 3.4796423997949777e-03 1.5839430915122832e-03
8;b162bd935fa02286f7fe201ceaa327c6;1.2565434084928428e-03 2.7604040417083457e-03 3.8940278210787536e-03 4.5019795815928240e-03 4.5019779403514286e-03 3.8940268746742788e-03 2.7604067252652142e-03 1.2565453935333775e-03 4.2880944319223322e-03 9.4201865512601544e-03 1.3288803642333777e-02 1.5363507273285813e-02 1.5363501264094916e-02 1.3288800523711097e-02 9.4201953942036707e-03 4.2881011408145040e-03 9.4988913585515242e-03 2.0867388367418131e-02 2.9437061928689185e-02 3.4032897281085862e-02 3.4032887108690769e-02 2.9437056062885245e-02 2.0867407079154212e-02 9.4989065010231168e-03 1.5905900597766032e-02 3.4942454749567566e-02 4.9292381708092345e-02 5.6988113526148972e-02 5.6988093925232061e-02 4.9292371535697252e-02 3.4942488401036587e-02 1.5905925763467426e-02 2.0952667556662603e-02 4.6029310999545617e-02 6.4932310320966566e-02 7.5069810409589308e-02 7.5069786888489018e-02 6.4932296757773109e-02 4.6029354265720072e-02 2.0952700381490507e-02 2.2023216363687457e-02 4.8381118859080342e-02 6.8249942749334144e-02 7.8905403836272009e-02 7.8905376709885081e-02 6.8249925151922325e-02 4.8381164598879645e-02 2.2023250434248541e-02 1.7768757195947588e-02 3.9034821931018718e-02 5.5065375118781762e-02 6.3662411555027970e-02 6.3662387518264377e-02 5.5065362644291044e-02 3.9034860250440624e-02 1.7768785373294710e-02 8.6570671624004950e-03 1.9018046842774725e-02 2.6828248163373185e-02 3.1016786052009693e-02 3.1016775110400394e-02 2.6828242484946339e-02 1.9018065627672807e-02 8.6570805995979591e-03
9;e0beaea894bc6ef9bb57456b39a0fea5;5.7020228279258131e-03 1.2106614558376560e-02 1.5887437661059343e-02 1.6191264333313742e-02 1.3092266860056004e-02 7.8385335444159307e-03 2.8374571777989737e-03 2.7328245818313278e-04 1.2520922194428684e-02 2.6584600046886456e-02 3.4886809417107728e-02 3.5553974051977889e-02 2.8748969179109594e-02 1.7212431196572148e-02 6.2306982085446987e-03 6.0009384216477759e-04 1.7667669905158633e-02 3.7512244789867241e-02 4.9227093654582492e-02 5.0168499580699875e-02 4.0566284181911806e-02 2.4287631028932874e-02 8.7918380992603809e-03 8.4676346247921405e-04 2.0406950416108464e-02 4.3328328719419634e-02 5.6859504352771338e-02 5.7946868855750844e-02 4.6855874270273483e-02 2.8053304046392270e-02 1.0154966549616364e-02 9.7804980317013363e-04 2.0464426689769045e-02 4.3450358560796813e-02 5.7019644978001160e-02 5.8110073930318695e-02 4.6987843323651947e-02 2.8132314734517806e-02 1.0183567894608229e-02 9.8080442169683484e-04 1.7679598387156239e-02 3.7537572164189535e-02 4.9260329299690632e-02 5.0202370265577931e-02 4.0593671660314058e-02 2.4304028883839299e-02 8.7977738777606403e-03 8.4733514993213990e-04 1.2552270163989319e-02 2.6651154987440164e-02 3.4974151642955677e-02 3.5642986994892316e-02 2.8820942460317377e-02 1.7255523285218601e-02 6.2462971609079671e-03 6.0159621470543705e-04 5.7067234039118314e-03 1.2116596048149346e-02 1.5900535898987527e-02 1.6204613096661526e-02 1.3103060757631896e-02 7.8449960673705986e-03 2.8397965684991821e-03 2.7350776028381402e-04
10;b8c54ff4220583c23f543c02db5f54e2;5.9589689178559503e-03 1.2611458694283324e-02 1.6555179016525937e-02 1.7038876886909173e-02 1.4322509679245419e-02 9.7198938386464390e-03 5.0792831427139357e-03 1.7281214717965430e-03 1.3090791596818672e-02 2.7705124791647859e-02 3.6368774756311867e-02 3.7431372682949514e-02 3.1463998543875674e-02 2.1352872676285748e-02 1.1158278890037610e-02 3.7963745663261014e-03 1.8466810057875878e-02 3.9082837227463335e-02 5.1304403595096443e-02 5.2803380485377013e-02 4.4385374289530335e-02 3.0121894538356585e-02 1.5740668951234917e-02 5.3554384015961588e-03 2.1349922377248923e-02 4.5184606246227589e-02 5.9314252485052670e-02 6.1047255648700366e-02 5.1314996623494383e-02 3.4824645308750381e-02 1.8198165206746750e-02 6.1915508857173819e-03 2.1349922377248923e-02 4.5184606246227589e-02 5.9314252485052670e-02 6.1047255648700366e-02 5.1314996623494383e-02 3.4824645308750381e-02 1.8198165206746750e-02 6.1915508857173819e-03 1.8466810057875878e-02 3.9082837227463335e-02 5.1304403595096443e-02 5.2803380485377013e-02 4.4385374289530335e-02 3.0121894538356585e-02 1.5740668951234917e-02 5.3554384015961588e-03 1.3090791596818672e-02 2.7705124791647859e-02 3.6368774756311867e-02 3.7431372682949514e-02 3.1463998543875674e-02 2.1352872676285748e-02 1.1158278890037610e-02 3.7963745663261014e-03 5.9589689178559503e-03 1.2611458694283324e-02 1.6555179016525937e-02 1.7038876886909173e-02 1.4322509679245419e-02 9.7198938386464390e-03 5.0792831427139357e-03 1.7281214717965430e-03
