n;subno;id;status
1;1;e83fd0c278dd467b92f04386fa4f3666;partial
1;counts;inside=0;outside=0;partial=1
2;1;c2e2a7278a7f4ac6ae2677052ac69494;partial
2;2;d514f918fa0940a8a680fd5f12c40723;partial
2;3;6e6305a68d69447eb0568d0057194931;inside
2;4;26c614ff1e28490ead17b5cb2196df1c;inside
2;counts;inside=2;outside=0;partial=2
4;1;378c79b4675941779c7d0af313f05574;outside
4;2;ea41561f72f04217ad1f04b42d1b54bb;outside
4;3;e65cbdea4287487ba4e37d9bd16aa20c;outside
4;4;4a32230f81394bad989396f330c79855;outside
4;5;be19d0f453a94b929c2a3cd459e9e3fc;partial
4;6;f0f399f0a55a485abc6e5237851d5483;partial
4;7;4153b75a819744149baf4b684a524702;partial
4;8;cd9004f60b344c6a8d8a16e214ea2e88;partial
4;9;353935e6be2744cc9fd5a47244c697a0;inside
4;10;2af463663d974d3a879239d86881553b;inside
4;11;1114f95845324b1087c4352754b4f6be;inside
4;12;51a903b27b144653ae97f52ef9304190;inside
4;13;19a138affed44c359fe77a3cfa55ff8d;inside
4;14;42ebd12fa566403fbdd83c6fbc1d89ec;inside
4;15;b9bfb60e0f3649f29ae0d7c5fd112651;inside
4;16;f5f74580a75d41f6a9ca8aa2d90d5e77;inside
4;counts;inside=8;outside=4;partial=4
8;1;9e34f451ca1842f9a7edd3d58fbeb755;outside
8;2;f56e36faac294bcb8356a328b8ca1b88;outside
8;3;4b26222a744d4348a0b3635656c4f1fb;outside
8;4;e8ef8c2d0ee440079007fbc93314fc85;outside
8;5;9c3e6dc28a75490794b630f0e7a210e9;outside
8;6;a4c9e7669f27487aa374bd0c3bb6087d;outside
8;7;c1312fae4caa4e918fc10f1e01026763;outside
8;8;b0238c7d1ff6456bac20ab7af909603e;outside
8;9;d4d79befa5264cdf971a29757bb836ba;outside
8;10;91a240f89e0f4e16a98a4b9352f09a4e;outside
8;11;153c0a1bfc9a465ab6db28fd4e40fe80;outside
8;12;50b13973255b47b784cc18d82f6af8ff;outside
8;13;533343d0d3384a49910616aa9edb1796;outside
8;14;c6c4f0856b0d440d9e1b4e2b0e8570ed;outside
8;15;55616e1812564d44986005940832ee98;outside
8;16;f30e118bfdf64a819bdcb93fddd57cee;outside
8;17;596b3efa9a894dd6a3f291de710538c0;outside
8;18;1db36b7825574ad18f1b51aba1e4f1cf;outside
8;19;beb72211454e4dd9b0459bdf01511f9e;outside
8;20;bfcb350c692a4c899bb22af6f24cd255;outside
8;21;977e2c515d20432895e190fd25a3ff5d;outside
8;22;b0a50215b9b04299821696862c9e7a5d;outside
8;23;1adf41ecad6d4b91888568da8ce31d88;outside
8;24;51102adab5254858a46ea276c286c59b;outside
8;25;e72bd7adcc8b4821a478bb3ce027f843;partial
8;26;c3420555fa7c4c2a8a7b6ba08b114729;partial
8;27;39dc1cedfe334772a1c85bea74de5e6a;partial
8;28;0c3516a301e047f6b4e3c9f1d5797f7c;partial
8;29;b04a7e0644da4122aa668abf92fec077;partial
8;30;fa3737e076934093a91df084c77205de;partial
8;31;6f2ead1d86494728915f82538017fbe4;partial
8;32;8318289c491549bdb6fcdbcfaccf4cf2;partial
8;33;40f4314275d24069bb6cac23602e83dd;inside
8;34;ce322bbe6caf4a98bb3f2c78e157d7b2;inside
8;35;13d10bf92ffe42ffae63d4fe2fb097d5;inside
8;36;62d5c53eae124ed0b901c95f45621398;inside
8;37;0a3ad7ccc36c434fb20daf86c8728db6;inside
8;38;31de062aaa90445b80f5556fe804cf10;inside
8;39;9f75067f8b4742f899922eb1ac28b1b2;inside
8;40;e35435af1e89451ba2d13356bde5a787;inside
8;41;4ab86d84f9f54fb9a5b6407e08fa7508;inside
8;42;bb8e5e46eae244aea84b6bd7d546e628;inside
8;43;1f71aa83bfa84504a9bbdd4c60cd5360;inside
8;44;a099a548c48b47c49152c5dd743ea786;inside
8;45;3c64c2d121734994a866bd69c2a33f15;inside
8;46;f3ea85be8ce048cd908e7ad3e1b81a57;inside
8;47;e3fec99ddfd541ceb5469ec1cd529465;inside
8;48;a16dc1a062134d4d89fae006ee8247f1;inside
8;49;f64fbf8ef3a444fc8c8be5719e0ac23a;inside
8;50;def9b898f3e64fadb9440ab4f22c6039;inside
8;51;a5cb5778677d4c2ea7d63d3890703ae3;inside
8;52;93e6216d29a444b39baac3c2ee81784b;inside
8;53;84f22cba58d84cf38e03508fffeed25f;inside
8;54;09785786532b494e84efaf94c1c51b24;inside
8;55;12eccc5778124cc19a4ee1892aa4b698;inside
8;56;564bbd21350540e08d3736b2d590097f;inside
8;57;9d5d696bdb264ca68febfb4911fbf940;inside
8;58;7c5f069920ae459581b6ad10f027b89b;inside
8;59;086b766286b842c5a0779dacd338c3a3;inside
8;60;71de8dc28a1e491ca446467cb69594e6;inside
8;61;ebb167dc2fe4472e8dc9a61b97b5a805;inside
8;62;b1a6a974624340368633d23689ed24a6;inside
8;63;23e6aef05f6247fb832f71a7681fa9b6;inside
8;64;8cc88122bbca47c9bf509f0489173ff7;inside
8;counts;inside=32;outside=24;partial=8
16;1;a5cffcadaddd4624995e77d8fe086d7d;outside
16;2;6f16b534b0aa4ac2b7472eb34fbc9ce0;outside
16;3;6f274d09401c4e77925f5b7661e343ca;outside
16;4;03eedd254eb348e6b15156c13b5a3810;outside
16;5;040c920c43af43909748102a0cc461ea;outside
16;6;0b5d71c0ec5d4145a466a8167ed050b0;outside
16;7;311e4254a3864fa7a9690bea8d61c6f3;outside
16;8;754ce102b1834657891b121e3c59883e;outside
16;9;612c5dcfe4c14865bb474302e34e7837;outside
16;10;972633361a79499eb83b1b604d14bcfe;outside
16;11;96f17a13944d4110a7a870c89979f8ff;outside
16;12;d9ad08ac12ff4060a71a4cbb44dd85d7;outside
16;13;b59cb96e8b9441cdbc3515fe5c329e3f;outside
16;14;eacd0d5417e341db96d241045ead3ec9;outside
16;15;199563d9f24d41b5a26696e1487eade6;outside
16;16;7186aa59d2ad4ef6bb27f64b4883009c;outside
16;17;cd3595bab87647e2884ea75463f91f99;outside
16;18;90c93da7c70c40498f80a09e6cf4a1f5;outside
16;19;4c5a81b60ea44613b5446f8d66153916;outside
16;20;48a03457eecf43738403debf9bf3f91d;outside
16;21;349f324bfd2549e6ba30edd2b9ed77dc;outside
16;22;d7a1db56b6ab4593adf9527d84abe704;outside
16;23;a63dc47e89804cd6aec6e9ce3b46e9e1;outside
16;24;e769007e424c49bfaab91d4680f05566;outside
16;25;9eb777af9cb44802aa4b8c87ac340b72;outside
16;26;02fcf8b54de54f919b61f4f93bf63472;outside
16;27;56fc13703e184d8885a437f045b2da71;outside
16;28;2ff42bc045de44bc9b095ea13da6d91c;outside
16;29;cf9280c78c3d44b7ab23a41424019f71;outside
16;30;d7fbf240fc4245e8add4832784968280;outside
16;31;8b10ac167b3c47a2886689e84dbf921e;outside
16;32;d7a39ef021384f4d944f51fc637b48e2;outside
16;33;c46157029e9c4cbda3746a7af135c7e6;outside
16;34;ce99c24e07e141abab25690f383c347e;outside
16;35;91d965774ecb4f33abdf36883516707f;outside
16;36;bc0ac3459da140c4a92b7875e093e4bd;outside
16;37;5bec5997de8e4d8196c810203af277ca;outside
16;38;d972b4e18bc64148896afa2ee9df5f99;outside
16;39;84648e88753347068ec7d2fbfb725fbd;outside
16;40;cf88d84ad16c422e9fe436f66a374743;outside
16;41;47e80fe06c604c8586e2da1ed1864a91;outside
16;42;e56b207637374a3b8a8877444e54c7e4;outside
16;43;9adf806776af42a69800fd21c7307919;outside
16;44;36446ff3b3a7460c92bc207df8b24f84;outside
16;45;be39bd533a9943b194ca3f4a577942c2;outside
16;46;f4995cd541434c3a871269b05a31b822;outside
16;47;f0f491f9166f45519765e1076c061d75;outside
16;48;76812fb20d44428994dc75be20ddb0d3;outside
16;49;fa59cdd31c424cdab50e3738ab033126;outside
16;50;4391282c6a574bad8c5d30d3e9237d1c;outside
16;51;cb5060f90efb47ceaa191573046d269d;outside
16;52;b040fd3504b144538ac4ad0a4708a027;outside
16;53;13e9b2e25078498e871288cc94e1d578;outside
16;54;5dcc20795c1a489ab35e8cdbc7672b01;outside
16;55;8c2156ae74d64b618ed75050d0a82975;outside
16;56;5879b014d1cf4c049980789694af19fa;outside
16;57;8c4507b9344d4e64a52458ce52a6a329;outside
16;58;b440cbb5c3af499d95e64bad40c1f109;outside
16;59;06646d8b73e844a9917261bc38c2662f;outside
16;60;c233f4aab2d24ac59b955665236d7b4e;outside
16;61;bb7ee6169110407390768c5442b97f7d;outside
16;62;028d71b8640f4b8bb3c9334d065ca0a1;outside
16;63;7447c8f5ffb34aa1b39da00fb171a2a5;outside
16;64;971735cdb6da487d9ac83964dad9fab0;outside
16;65;730ff0e5077f4f73b923d79cdbea6149;outside
16;66;a9e8883b7ba94eae94066a8e6fc2d4b2;outside
16;67;ab5b1f74e03449b7a501090c2bbe05ed;outside
16;68;55a84cc2a4444e8791186e49c3a04e4e;outside
16;69;f6ab0d09aef84fa88e7e1c60c8d0152a;outside
16;70;b4c4d5af08cc410ab765a72c41de6213;outside
16;71;a7dfa25fbad948fc9fde2950d54f579c;outside
16;72;6c9fcc9ea71b43359c45db22327a7695;outside
16;73;740bd2c907e94928a367bec637e0dd5a;outside
16;74;404a243386ac4a888746c2c3c6925e09;outside
16;75;ad7ebdfc360b4a74b0d25a000fbf28cc;outside
16;76;fb50a0ee6aeb4690a1268b13f4bc31b5;outside
16;77;6e17f25013204159b817f74688a31628;outside
16;78;357ca3285a75434c8cf6c835a263841c;outside
16;79;b2a26c7cf28443f8b0d9073267f8e643;outside
16;80;141529e7a1cc47dbbcb0710e74b0def6;outside
16;81;bb077e0581794c93a3b54d92f372e09d;outside
16;82;c5dab731b72c4b4e99d3d60c2a2a01d6;outside
16;83;2d4be92e2ab3461fa02b16ecd6866c42;outside
16;84;2e0bb6285c3c40689fdf443adbd21914;outside
16;85;7cdf1859942b4233bebe0ca7e4745278;outside
16;86;daa3d7a7f6284e2cb5efaea9a640caf6;outside
16;87;a3e4be447244479b972e165587b0a7be;outside
16;88;382dc8129487462790518c10c82cc48a;outside
16;89;10466db36f834b9db7c8381b7a4b9663;outside
16;90;31affec119374f40ae4ea5009150e014;outside
16;91;50f74525b96b4c61862a46f14d5b1a1e;outside
16;92;c82d67ff535d4a4c8e425a746e71c5c6;outside
16;93;5dc9967831e34c41b68e140e45263af0;outside
16;94;166910c5e40e428fbc15d7a10b45d801;outside
16;95;231020261b2c4bce8a6a0976e4711fb3;outside
16;96;44fffd1399514997bad4a5b42b2fcc7d;outside
16;97;514fbb5d6cfd495e9972951507b8197c;partial
16;98;1a7705328bd14458bf744a87f639dc4b;partial
16;99;ab240b620e1348d081428e4d75e7e0fa;partial
16;100;26bb3bff776e4f359f43f9cf8f3f9a2c;partial
16;101;283a36c1584a47b7ab37f1e90b16d1f0;partial
16;102;4ef2a7d807ac435298a1d11be4424110;partial
16;103;5054a44d3cf04c0486376e6b042f60a0;partial
16;104;62a4febc8be54cfcb320a2cf9b695a72;partial
16;105;1b8d8e58dd884323ae6289673f4b3389;partial
16;106;40c7e26bd5e642e692006e6f91859332;partial
16;107;4d5d716df3f848f5a61d0680326a219f;partial
16;108;13217a1002e946898cf74d43ba08b3c5;partial
16;109;6c04ed35564b40009195bc80e1fd42ee;partial
16;110;d8c6fda5292c4cceae95cc64dc548473;partial
16;111;a8731940371f4c4db081dd0ba0adb195;partial
16;112;998a9fcaaa62445dbf7358811848947b;partial
16;113;af087351717c48548c18597a592b6fdb;inside
16;114;4d9526b04a9f466b81f72547992d525b;inside
16;115;14a9b16e896b43debb5f71f676c319d9;inside
16;116;9c9d08e2844046c3b3529b8517d1be0d;inside
16;117;499ea531b41549d3a1e132986be1e30b;inside
16;118;88a5ebcaaad445fb857e1877561a8da4;inside
16;119;0592652b79b8416791f3669aba220e24;inside
16;120;5aa99153bbc24fcb86059e7ec0401406;inside
16;121;e31d41f90ede4d5eb107f0bb7bea9220;inside
16;122;2914ebb1ad524798b5571e427fb4f778;inside
16;123;d4b88c6c72e44f27a812d4f99af7d4c5;inside
16;124;51e579fd94b6487bbaf901b2738288cd;inside
16;125;8f122151fe1b4d4493cd4a4045824fe1;inside
16;126;0b8cc556233749a588af37218c6766ff;inside
16;127;69d6e7fd51d0453e93f4dda99bd9887f;inside
16;128;f37fe26c292743118f2251ee5aa52d16;inside
16;129;f7c2e38fb556472bbb532a94588a98de;inside
16;130;805297433920416b8d2f31e51c50dc06;inside
16;131;fa11115ac69d4737b5936d0f75aebdf7;inside
16;132;40d32f1b24e74fa99b3bb30a59fff480;inside
16;133;45866932b06445dc89d947d15a3503da;inside
16;134;b233693093a14765ace348baddfdee5d;inside
16;135;b5fbfd5d78a249198c08b58ee5b87cce;inside
16;136;3b8fa10de6e2407e9cd53f8c64758ac5;inside
16;137;daf9231fe54647c888c197cb9a7351e4;inside
16;138;b826839284654548b79a4df97778ae8a;inside
16;139;d4ec168ad1cf455aad08639baca5917b;inside
16;140;11e8f61c07914b93a0a892e2cc540960;inside
16;141;f735efd72a3a461bbb5c599425ffdfe1;inside
16;142;95255afeb0f043a69cfa13aa3e46d875;inside
16;143;9c22eb93122d4fd9837438ffe070f37f;inside
16;144;7e1877ce51a346b69a25660fb7f77183;inside
16;145;a90c5f37cb5c4fffa5e18ba6a8fc080a;inside
16;146;1a5fa58770fe41a6a4bf4afec951fb8a;inside
16;147;3764aaef86bb495ebddde2e8d6a421c6;inside
16;148;ec995dd852c5431f8285a044596baf38;inside
16;149;b0e4fd5f5cfb4650be9ffaeb59dcc0f7;inside
16;150;6999b1c876ae4e63a492d8c9e3c3dae1;inside
16;151;7031f3b4bd6247abbca7e3d28b2413d9;inside
16;152;1a614d04fcea4a73bf10874bb98c17c2;inside
16;153;b1d18fe7a13a41778c0e4d248386e888;inside
16;154;27977546d94849ecbc29b4a796d65390;inside
16;155;104c52f0a5d5477dacce1748289d20de;inside
16;156;1c844a19fbbb453e824352e1336080fd;inside
16;157;2605901160df4175976715e97693267f;inside
16;158;1e8c9ead72a74f33a30e4e149fe971d7;inside
16;159;5ca771fbe91f48a1b5b5c817e659d397;inside
16;160;c8d1f746ecc844deb7a69c2d60a04a35;inside
