number;id;pred_scale_x;pred_scale_y
0;a6a068a075e6d37a96b3922d38cc56b0;0.8560389280319214,0.7935981750488281,0.7060190439224243,0.6165269613265991,0.5381526947021484,0.4786691665649414,0.4377029240131378,0.4160319864749908;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000
1;d04baa82e0f807196c45450786d616ab;0.1384690552949905,0.2030804455280304,0.2919163703918457,0.3824682235717773,0.4615948796272278,0.5221320986747742,0.5638583302497864,0.5859943628311157;0.9999996423721313,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999997615814209,0.9999996423721313,0.9999995231628418
2;9c469d7854cdb09290680f17cdd18fee;0.5776932239532471,0.5792245268821716,0.5795817375183105,0.5792216062545776,0.5793173909187317,0.5796109437942505,0.5794307589530945,0.5792336463928223;0.5111944675445557,0.4831020832061768,0.4301838874816895,0.3568287789821625,0.2643779814243317,0.1655999720096588,0.0746278092265129,0.0154242347925901
3;c462ab1cc4dd0821f5a42dd03d2c9dc0;0.9884768724441528,0.9880388379096985,0.9881348609924316,0.9880034923553467,0.9877622127532959,0.9872626662254333,0.9869158267974854,0.9877536892890930;0.0128742633387446,0.0437763929367065,0.0878768190741539,0.1542161107063293,0.2408708333969116,0.3467335999011993,0.4556198418140411,0.5400487780570984
4;86791adeb24851ae9bd3f4419416f295;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.9457050561904907,0.9301236867904663,0.9060035347938538,0.8814569711685181,0.8539962768554688,0.8317546844482422,0.8149930238723755,0.8052079677581787
5;7ab7046e3fa23fd4161c3d644e6640d6;0.9999933242797852,0.9999930858612061,0.9999933242797852,0.9999924898147583,0.9999920129776001,0.9999904632568359,0.9999887943267822,0.9999847412109375;0.0447560064494610,0.0684703066945076,0.0901579633355141,0.1179719269275665,0.1440158933401108,0.1673996448516846,0.1849813461303711,0.1973281949758530
6;5e9ca2a2b1419a14102e743419fc21cc;0.8741900324821472,0.8058570623397827,0.6993415355682373,0.5656575560569763,0.4287898838520050,0.3059127926826477,0.2109120786190033,0.1545732319355011;0.9999990463256836,0.9999991655349731,0.9999992847442627,0.9999994039535522,0.9999992847442627,0.9999992847442627,0.9999991655349731,0.9999985694885254
7;b162bd935fa02286f7fe201ceaa327c6;0.1226233989000320,0.1904870271682739,0.2991217672824860,0.4332403838634491,0.5707027912139893,0.6935149431228638,0.7893291115760803,0.8448247313499451;0.9999959468841553,0.9999967813491821,0.9999977350234985,0.9999978542327881,0.9999974966049194,0.9999974966049194,0.9999977350234985,0.9999974966049194
8;e0beaea894bc6ef9bb57456b39a0fea5;0.7607728242874146,0.7604446411132812,0.7606495022773743,0.7599394917488098,0.7620798349380493,0.7611630558967590,0.7623484730720520,0.7614000439643860;0.7314220070838928,0.7069147229194641,0.6576157212257385,0.5796884894371033,0.4687364995479584,0.3244540095329285,0.1656813472509384,0.0350550711154938
9;b8c54ff4220583c23f543c02db5f54e2;1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000,1.0000000000000000;0.5815207362174988,0.5602277517318726,0.5213233828544617,0.4640981853008270,0.3901108503341675,0.3060799241065979,0.2256325334310532,0.1686430126428604
