number;id;xscale;yscale;xcenter;ycenter
0;a6a068a075e6d37a96b3922d38cc56b0;0.8640431165695190,0.7983123064041138,0.7074172496795654,0.6154400110244751,0.5371200442314148,0.4771608710289001,0.4369561076164246,0.4151328206062317;1.0000633001327515,1.0000516176223755,1.0000393390655518,1.0000250339508057,0.9999978542327881,0.9999314546585083,0.9999608993530273,0.9998834133148193;-0.1446791887283325,-0.2071248590946198,-0.2947700023651123,-0.3853291571140289,-0.4645014703273773,-0.5259113907814026,-0.5683962106704712,-0.5924599170684814;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
1;d04baa82e0f807196c45450786d616ab;0.1414260268211365,0.2039226293563843,0.2920988798141479,0.3830713331699371,0.4617338180541992,0.5222774744033813,0.5639109015464783,0.5868117809295654;1.0001300573348999,1.0001968145370483,1.0001103878021240,1.0000724792480469,1.0000971555709839,1.0000219345092773,1.0001075267791748,1.0001415014266968;0.8523463010787964,0.7956485748291016,0.7089337706565857,0.6171552538871765,0.5370986461639404,0.4764998555183411,0.4368599653244019,0.4159129559993744;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
2;9c469d7854cdb09290680f17cdd18fee;0.5765385031700134,0.5765479803085327,0.5775341987609863,0.5774834752082825,0.5776286721229553,0.5776872634887695,0.5781466960906982,0.5783972740173340;0.5112051963806152,0.4823440909385681,0.4307658374309540,0.3561180830001831,0.2644968330860138,0.1647250801324844,0.0742709636688232,0.0146632492542267;-0.4223623573780060,-0.4223488867282867,-0.4223660826683044,-0.4224283397197723,-0.4224779903888702,-0.4225454628467560,-0.4225482642650604,-0.4224260151386261;-0.4893001616001129,-0.5182506442070007,-0.5701253414154053,-0.6436360478401184,-0.7350087165832520,-0.8344473838806152,-0.9247942566871643,-0.9846353530883789
3;c462ab1cc4dd0821f5a42dd03d2c9dc0;0.9725212454795837,0.9725788831710815,0.9726574420928955,0.9724503755569458,0.9730240106582642,0.9725593924522400,0.9728489518165588,0.9736772775650024;0.0061931312084198,0.0294357538223267,0.0741550326347351,0.1415532082319260,0.2337195575237274,0.3451601862907410,0.4596875905990601,0.5446423888206482;0.0275353603065014,0.0273499824106693,0.0270546209067106,0.0267349407076836,0.0265105199068785,0.0264098495244980,0.0263754129409790,0.0263679511845112;0.9908875823020935,0.9650008678436279,0.9203507900238037,0.8529686927795410,0.7635957002639771,0.6556666493415833,0.5427781343460083,0.4578927159309387
4;86791adeb24851ae9bd3f4419416f295;1.0019207000732422,1.0023719072341919,1.0020093917846680,1.0019390583038330,1.0017224550247192,1.0016405582427979,1.0014400482177734,1.0013074874877930;0.9426921606063843,0.9291993379592896,0.9080058932304382,0.8846391439437866,0.8629302978515625,0.8414545059204102,0.8240095376968384,0.8140341043472290;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.0559114292263985,-0.0722240284085274,-0.0957511663436890,-0.1200152114033699,-0.1421178579330444,-0.1609631329774857,-0.1756192892789841,-0.1836231499910355
5;7ab7046e3fa23fd4161c3d644e6640d6;1.0005064010620117,0.9997190237045288,1.0000785589218140,0.9995305538177490,1.0006622076034546,0.9999225139617920,1.0001873970031738,1.0006119012832642;0.0590703338384628,0.0723581910133362,0.0931014716625214,0.1186328977346420,0.1448441445827484,0.1677094846963882,0.1850384324789047,0.1956066638231277;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.9432716965675354,0.9303332567214966,0.9082159399986267,0.8823605775833130,0.8560844063758850,0.8328528404235840,0.8152682185173035,0.8054963350296021
6;5e9ca2a2b1419a14102e743419fc21cc;0.8765986561775208,0.8096528053283691,0.7003203630447388,0.5669118762016296,0.4297727942466736,0.3069168925285339,0.2131749689579010,0.1574517190456390;1.0001500844955444,0.9999895095825195,0.9999035000801086,0.9999924898147583,1.0000345706939697,1.0000758171081543,0.9999511241912842,0.9998828172683716;-0.1255263537168503,-0.1925096958875656,-0.3007892966270447,-0.4337155520915985,-0.5719774365425110,-0.6967111229896545,-0.7917158603668213,-0.8431193232536316;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
7;b162bd935fa02286f7fe201ceaa327c6;0.1206054389476776,0.1890050023794174,0.2991127669811249,0.4331585168838501,0.5708395242691040,0.6959388852119446,0.7917095422744751,0.8475531339645386;0.9999518394470215,1.0000019073486328,1.0000762939453125,1.0000946521759033,1.0000575780868530,1.0000869035720825,1.0002009868621826,1.0001690387725830;0.8668344020843506,0.8042322993278503,0.6963212490081787,0.5632261633872986,0.4260976016521454,0.3028386533260345,0.2085576504468918,0.1530296653509140;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
8;e0beaea894bc6ef9bb57456b39a0fea5;0.7597742080688477,0.7422150373458862,0.7160407304763794,0.6918331384658813,0.6789599657058716,0.6875350475311279,0.7133293151855469,0.7418841123580933;0.7258864641189575,0.7017217874526978,0.6537799835205078,0.5774252414703369,0.4670002460479736,0.3232347369194031,0.1647517681121826,0.0366987884044647;-0.2400694191455841,-0.2400994747877121,-0.2401141524314880,-0.2401345223188400,-0.2402989715337753,-0.2404728233814240,-0.2404924184083939,-0.2404934763908386;-0.2714473605155945,-0.2963819801807404,-0.3445594906806946,-0.4217335581779480,-0.5331934094429016,-0.6778847575187683,-0.8372335433959961,-0.9644083976745605
9;b8c54ff4220583c23f543c02db5f54e2;0.9999816417694092,1.0001794099807739,1.0001492500305176,1.0000920295715332,1.0000870227813721,1.0000326633453369,1.0000586509704590,1.0000264644622803;0.5803181529045105,0.5586900711059570,0.5206875801086426,0.4635502994060516,0.3907756805419922,0.3075703382492065,0.2273274362087250,0.1709321141242981;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.4201138317584991,-0.4411233663558960,-0.4800277054309845,-0.5369048714637756,-0.6100313067436218,-0.6925209164619446,-0.7712373733520508,-0.8282032608985901
