number;id;xscales;yscales;xcenter;ycenter
1;a6a068a075e6d37a96b3922d38cc56b0;0.8640431761741638,0.798312246799469,0.7074171900749207,0.6154399514198303,0.5371201038360596,0.4771608114242554,0.4369562566280365,0.4151328206062317;1.000063180923462,1.000051498413086,1.000039339065552,1.000024914741516,0.9999980330467224,0.9999314546585083,0.9999608993530273,0.9998833537101746;-0.1446791887283325,-0.2071248292922974,-0.2947700023651123,-0.3853290975093842,-0.4645014703273773,-0.5259113907814026,-0.5683962106704712,-0.5924598574638367;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
2;d04baa82e0f807196c45450786d616ab;0.1414260268211365,0.2039226442575455,0.2920989096164703,0.3830713629722595,0.4617338180541992,0.5222774744033813,0.5639109015464783,0.5868118405342102;1.0001300573349,1.000196814537048,1.000110387802124,1.000072479248047,1.000097274780273,1.000021934509277,1.000107884407043,1.000141620635986;0.8523463010787964,0.7956485748291016,0.7089337110519409,0.6171551942825317,0.5370985865592957,0.4764997661113739,0.4368599057197571,0.4159130454063416;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
3;9c469d7854cdb09290680f17cdd18fee;0.5765385031700134,0.5765479207038879,0.5775341987609863,0.5774834156036377,0.5776288509368896,0.5776873230934143,0.578146755695343,0.578397274017334;0.5112051963806152,0.4823441207408905,0.4307658672332764,0.3561180531978607,0.2644968628883362,0.1647250652313232,0.07427095621824265,0.014663215726614;-0.4223623275756836,-0.4223488569259644,-0.4223660826683044,-0.4224283695220947,-0.4224779903888702,-0.4225454330444336,-0.4225482642650604,-0.4224260449409485;-0.4893001616001129,-0.5182506442070007,-0.5701253414154053,-0.6436360478401184,-0.7350086569786072,-0.8344473838806152,-0.9247943162918091,-0.9846353530883789
4;c462ab1cc4dd0821f5a42dd03d2c9dc0;0.972521185874939,0.9725788831710815,0.9726573824882507,0.9724504351615906,0.9730240702629089,0.9725593328475952,0.9728490114212036,0.9736772179603577;0.006193116307258606,0.02943567931652069,0.07415500283241272,0.141553208231926,0.2337195575237274,0.3451601266860962,0.4596876502037048,0.5446423888206482;0.02753539010882378,0.02735001221299171,0.02705464698374271,0.02673496305942535,0.02651053853332996,0.02640986442565918,0.02637542970478535,0.02636796608567238;0.9908876419067383,0.9650008678436279,0.9203507900238037,0.852968692779541,0.7635957002639771,0.6556666493415833,0.5427781939506531,0.4578926563262939
5;86791adeb24851ae9bd3f4419416f295;1.001920819282532,1.002371907234192,1.002009391784668,1.001939296722412,1.001722455024719,1.001640558242798,1.001440048217773,1.001307487487793;0.9426921010017395,0.9291993379592896,0.9080058336257935,0.8846392035484314,0.8629303574562073,0.8414543271064758,0.8240096569061279,0.8140340447425842;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.05591140687465668,-0.07222399860620499,-0.09575112909078598,-0.1200151666998863,-0.1421177983283997,-0.1609630584716797,-0.1756191700696945,-0.1836230456829071
6;7ab7046e3fa23fd4161c3d644e6640d6;1.000506520271301,0.9997190833091736,1.000078678131104,0.999530553817749,1.000662326812744,0.999922513961792,1.000187516212463,1.000611782073975;0.05907034128904343,0.07235818356275558,0.09310144931077957,0.118632897734642,0.1448441445827484,0.1677094697952271,0.1850385069847107,0.1956066191196442;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.9432716965675354,0.9303333163261414,0.9082159996032715,0.8823606371879578,0.8560844659805298,0.832852840423584,0.8152682185173035,0.8054963350296021
7;5e9ca2a2b1419a14102e743419fc21cc;0.876598596572876,0.8096529841423035,0.7003203630447388,0.5669119358062744,0.4297727942466736,0.3069170117378235,0.2131750285625458,0.1574517488479614;1.000150203704834,0.99998939037323,0.999903678894043,0.9999925494194031,1.000034689903259,1.000075817108154,0.9999511241912842,0.999882698059082;-0.1255263388156891,-0.1925096809864044,-0.3007893264293671,-0.4337155520915985,-0.5719774961471558,-0.696711003780365,-0.7917158007621765,-0.8431193232536316;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
8;b162bd935fa02286f7fe201ceaa327c6;0.120605431497097,0.1890050321817398,0.2991127371788025,0.4331584572792053,0.5708395838737488,0.6959389448165894,0.7917094826698303,0.8475533127784729;0.9999518394470215,1.000001788139343,1.000076055526733,1.000094652175903,1.000057578086853,1.000086784362793,1.000200986862183,1.000169157981873;0.8668344616889954,0.8042323589324951,0.6963212490081787,0.5632261633872986,0.426097571849823,0.3028386533260345,0.2085576355457306,0.153029665350914;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
9;e0beaea894bc6ef9bb57456b39a0fea5;0.7597742676734924,0.742215096950531,0.7160406708717346,0.6918330788612366,0.678959846496582,0.6875349879264832,0.7133292555809021,0.7418839931488037;0.7258865237236023,0.7017219066619873,0.6537800431251526,0.5774251818656921,0.4670003056526184,0.3232347369194031,0.1647517383098602,0.03669873997569084;-0.2400694042444229,-0.2400994747877121,-0.2401141822338104,-0.24013452231884,-0.2402990013360977,-0.2404728382825851,-0.2404924333095551,-0.2404934912919998;-0.2714473605155945,-0.2963819801807404,-0.3445594608783722,-0.4217334985733032,-0.5331934094429016,-0.6778846979141235,-0.8372335433959961,-0.9644083976745605
10;b8c54ff4220583c23f543c02db5f54e2;0.999981701374054,1.000179529190063,1.000149250030518,1.000092148780823,1.000086903572083,1.000032663345337,1.000058650970459,1.000026702880859;0.5803180932998657,0.558690071105957,0.520687460899353,0.4635503888130188,0.390775740146637,0.3075703680515289,0.227327436208725,0.1709321290254593;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.4201138615608215,-0.4411233961582184,-0.4800277650356293,-0.5369048714637756,-0.6100313663482666,-0.6925209760665894,-0.7712373733520508,-0.8282033205032349
